Type,Municipality,NearStation,Price,FloorPlan,Area,LandShape,Frontage,BuildingYear,Structure,Use,Direction,Renovation
Residential Land(Land and Building),Shinjuku Ward,5.0,3900000000,1K,2000,Semi-shaped,50.0,2012.0,RC,Office,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,610000000,1K,380,Trapezoidal Shaped,18.0,1974.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,610000000,1K,110,Semi-trapezoidal Shaped,6.5,1968.0,RC,Shop,South,Not yet
Residential Land(Land and Building),Minato Ward,5.0,60000000,1K,45,Rectangular Shaped,5.3,2004.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,3.0,700000000,1K,340,Irregular Shaped,19.4,1945.0,S,Office,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,88000000,1K,65,Semi-rectangular Shaped,10.0,2018.0,W,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,66000000,1K,55,Rectangular Shaped,8.5,2017.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,400000000,1K,400,Semi-square Shaped,18.5,1967.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,390000000,1K,440,Rectangular Shaped,22.0,2000.0,RC,Office,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,120000000,1K,150,Rectangular Shaped,8.2,1999.0,LS,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,160000000,1K,160,Irregular Shaped,2.0,2017.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,250000000,1K,290,Rectangular Shaped,18.0,1963.0,RC,Office,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,1.0,57000000,1K,100,Semi-trapezoidal Shaped,8.5,1968.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,52000000,1K,65,Semi-square Shaped,8.9,1960.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,10.0,40000000,1K,65,Semi-square Shaped,8.9,1960.0,W,House,East,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,130000000,1K,100,Rectangular Shaped,9.5,1981.0,RC,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,54000000,1K,75,Irregular Shaped,2.5,2015.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,1.0,170000000,1K,55,Semi-rectangular Shaped,4.3,1970.0,RC,Office,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,260000000,1K,95,Semi-trapezoidal Shaped,10.0,1973.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,350000000,1K,260,Semi-rectangular Shaped,13.7,1994.0,S,Shop,East,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,520000000,1K,175,Semi-rectangular Shaped,10.0,2008.0,SRC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,10000000,1K,60,Semi-rectangular Shaped,6.8,1961.0,W,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,55000000,1K,145,Semi-rectangular Shaped,8.0,1966.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,10.0,92000000,1K,85,Rectangular Shaped,8.0,1978.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,700000000,1K,340,Semi-rectangular Shaped,16.1,1990.0,RC,House,West,Not yet
Residential Land(Land and Building),Minato Ward,5.0,580000000,1K,135,Semi-shaped,7.5,1962.0,RC,Shop,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,3.0,500000000,1K,135,Irregular Shaped,11.5,1971.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,7.0,130000000,1K,100,Semi-trapezoidal Shaped,9.0,1999.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,2100000000,1K,830,Semi-rectangular Shaped,18.8,1985.0,RC,Shop,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,400000000,1K,390,Semi-rectangular Shaped,10.5,1994.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,110000000,1K,120,Rectangular Shaped,15.0,1990.0,S,Office,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,85000000,1K,60,Semi-rectangular Shaped,6.5,2002.0,RC,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,260000000,1K,260,Semi-shaped,10.0,1991.0,RC,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,110000000,1K,200,Semi-rectangular Shaped,19.4,1969.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,120000000,1K,220,Semi-rectangular Shaped,11.2,1984.0,LS,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,61000000,1K,60,Semi-rectangular Shaped,7.0,1998.0,RC,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,380000000,1K,165,Rectangular Shaped,9.8,1985.0,S,Other,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,520000000,1K,250,Irregular Shaped,9.0,1988.0,SRC,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,170000000,1K,170,Semi-rectangular Shaped,17.0,1985.0,S,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,120000000,1K,55,Rectangular Shaped,5.5,2004.0,RC,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,110000000,1K,55,Trapezoidal Shaped,9.4,1999.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,220000000,1K,130,Rectangular Shaped,9.4,2005.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,100000000,1K,115,Semi-square Shaped,10.5,1990.0,S,Office,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,57000000,1K,50,Semi-rectangular Shaped,4.6,2014.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,140000000,1K,240,Semi-rectangular Shaped,19.0,1988.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,4400000000,1K,2000,Irregular Shaped,50.0,1971.0,RC,Other,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,120000000,1K,185,Rectangular Shaped,9.0,1976.0,RC,Other,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,11.0,120000000,1K,125,Semi-rectangular Shaped,7.5,1974.0,S,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,160000000,1K,160,Semi-rectangular Shaped,10.1,1992.0,RC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,130000000,1K,200,Rectangular Shaped,10.2,1992.0,RC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,6000000,1K,105,Semi-rectangular Shaped,10.4,1962.0,RC,Office,No facing road,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,260000000,1K,115,Rectangular Shaped,8.3,2014.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,250000000,1K,210,Semi-rectangular Shaped,5.5,1992.0,RC,Office,North,Not yet
Residential Land(Land and Building),Minato Ward,7.0,78000000,1K,55,Semi-shaped,6.0,1999.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,170000000,1K,185,Semi-shaped,9.2,1968.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,55000000,1K,55,Semi-rectangular Shaped,4.3,2001.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,60000000,1K,60,Semi-rectangular Shaped,4.3,2001.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,100000000,1K,70,Semi-square Shaped,8.8,2013.0,W,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,76000000,1K,75,Flag-shaped etc.,2.5,2020.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,45000000,1K,55,Semi-rectangular Shaped,5.5,1969.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,28000000,1K,55,Rectangular Shaped,5.3,1969.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,72000000,1K,65,Semi-shaped,5.0,2014.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,34000000,1K,50,Semi-rectangular Shaped,4.5,1979.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,54000000,1K,75,Rectangular Shaped,6.0,1993.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,39000000,1K,60,Rectangular Shaped,6.4,1971.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,130000000,1K,135,Semi-rectangular Shaped,6.1,2015.0,W,House,North,Not yet
Residential Land(Land and Building),Minato Ward,5.0,110000000,1K,145,Rectangular Shaped,13.5,1978.0,S,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,320000000,1K,260,Semi-shaped,14.3,1992.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,80000000,1K,100,Semi-rectangular Shaped,8.3,2010.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,320000000,1K,210,Semi-trapezoidal Shaped,12.0,1990.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,320000000,1K,200,Semi-rectangular Shaped,7.4,1994.0,RC,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,22000000,1K,45,Semi-rectangular Shaped,5.2,1970.0,W,House,West,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,750000000,1K,260,Semi-shaped,17.0,1987.0,SRC,Office,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,82000000,1K,45,Semi-square Shaped,6.9,2018.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,86000000,1K,45,Semi-shaped,7.0,2018.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,150000000,1K,125,Semi-rectangular Shaped,7.2,1986.0,S,Factory,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,32000000,1K,50,Semi-rectangular Shaped,6.0,1962.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,120000000,1K,140,Semi-rectangular Shaped,7.0,1988.0,S,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,470000000,1K,210,Irregular Shaped,7.5,1993.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,470000000,1K,760,Irregular Shaped,15.0,1969.0,RC,Other,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,15000000,1K,35,Irregular Shaped,2.0,1960.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,45000000,1K,70,Rectangular Shaped,5.3,1974.0,S,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,81000000,1K,155,Irregular Shaped,4.0,1960.0,W,House,West,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,150000000,1K,115,Semi-rectangular Shaped,15.0,1988.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,66000000,1K,85,Semi-rectangular Shaped,4.3,1985.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,89000000,1K,70,Rectangular Shaped,4.6,2016.0,W,House,North,Not yet
Residential Land(Land and Building),Minato Ward,1.0,4300000000,1K,1300,Semi-trapezoidal Shaped,49.0,2006.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,91000000,1K,85,Semi-rectangular Shaped,6.0,1989.0,S,House,South,Not yet
Residential Land(Land and Building),Minato Ward,1.0,95000000,1K,185,Irregular Shaped,8.5,1970.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,77000000,1K,105,Semi-rectangular Shaped,5.7,1993.0,S,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,120000000,1K,260,Irregular Shaped,10.0,2005.0,LS,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,160000000,1K,125,Irregular Shaped,6.3,2011.0,RC,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,97000000,1K,100,Semi-rectangular Shaped,8.3,2008.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,130000000,1K,130,Rectangular Shaped,9.6,1992.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,120000000,1K,80,Rectangular Shaped,5.8,2014.0,LS,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,190000000,1K,190,Semi-rectangular Shaped,12.2,1968.0,RC,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,350000000,1K,330,Irregular Shaped,17.8,1980.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,94000000,1K,80,Semi-rectangular Shaped,6.0,1995.0,RC,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,1.0,100000000,1K,65,Semi-rectangular Shaped,5.0,1983.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,16000000,1K,35,Semi-rectangular Shaped,5.0,1972.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,120000000,1K,115,Semi-trapezoidal Shaped,8.0,1982.0,RC,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,54000000,1K,65,Flag-shaped etc.,2.5,2004.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,40000000,1K,65,Irregular Shaped,2.5,2004.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,100000000,1K,80,Semi-shaped,7.5,2014.0,LS,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,110000000,1K,100,Semi-rectangular Shaped,9.4,2014.0,LS,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,490000000,1K,155,Rectangular Shaped,11.0,2018.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,44000000,1K,65,Semi-rectangular Shaped,9.0,1960.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,200000000,1K,155,Semi-rectangular Shaped,8.4,1989.0,RC,Other,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,10.0,420000000,1K,760,Irregular Shaped,12.0,1977.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,85000000,1K,55,Semi-rectangular Shaped,6.4,1992.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,75000000,1K,65,Semi-trapezoidal Shaped,8.0,1991.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,53000000,1K,50,Semi-trapezoidal Shaped,7.0,1992.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,310000000,1K,510,Irregular Shaped,21.5,1991.0,SRC,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,40000000,1K,40,Irregular Shaped,5.8,1999.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,51000000,1K,105,Semi-square Shaped,11.0,1988.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,100000000,1K,195,Rectangular Shaped,14.5,1959.0,W,House,North,Not yet
Residential Land(Land and Building),Minato Ward,4.0,1700000000,1K,370,Semi-rectangular Shaped,17.0,2009.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,45000000,1K,130,Rectangular Shaped,8.7,1978.0,W,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,1500000000,1K,340,Rectangular Shaped,13.0,2009.0,S,Office,West,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,130000000,1K,70,Semi-rectangular Shaped,11.0,1984.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,57000000,1K,50,Irregular Shaped,10.0,1985.0,RC,Office,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,15000000,1K,40,Semi-rectangular Shaped,7.3,1966.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,220000000,1K,175,Semi-rectangular Shaped,10.0,1985.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,61000000,1K,45,Semi-rectangular Shaped,4.8,2017.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,3.0,210000000,1K,195,Semi-square Shaped,13.5,1994.0,S,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,36000000,1K,40,Semi-rectangular Shaped,5.0,1997.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,480000000,1K,110,Semi-shaped,6.5,2018.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,330000000,1K,105,Irregular Shaped,12.0,1986.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,6.0,30000000,1K,75,Semi-rectangular Shaped,10.0,1986.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,170000000,1K,100,Semi-trapezoidal Shaped,12.0,1984.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,380000000,1K,250,Semi-rectangular Shaped,13.5,1985.0,SRC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,2.0,560000000,1K,125,Semi-rectangular Shaped,8.0,1961.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,2.0,3400000000,1K,750,Irregular Shaped,21.5,1970.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,900000000,1K,190,Irregular Shaped,9.2,1980.0,SRC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,81000000,1K,60,Semi-rectangular Shaped,5.5,1978.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,170000000,1K,125,Semi-rectangular Shaped,9.8,1990.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,530000000,1K,150,Semi-rectangular Shaped,9.6,1981.0,RC,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,2.0,170000000,1K,55,Semi-rectangular Shaped,8.2,1987.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,9.0,81000000,1K,115,Rectangular Shaped,7.0,2001.0,RC,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,400000000,1K,145,Semi-rectangular Shaped,9.5,2014.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,510000000,1K,130,Semi-rectangular Shaped,10.0,2019.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Minato Ward,11.0,310000000,1K,100,Semi-shaped,7.0,1989.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,9.0,74000000,1K,80,Semi-rectangular Shaped,5.0,1990.0,S,Office,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,170000000,1K,40,Irregular Shaped,8.7,1970.0,RC,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,64000000,1K,70,Rectangular Shaped,6.3,2017.0,W,House,East,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,140000000,1K,125,Irregular Shaped,6.0,1983.0,SRC,Factory,East,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,220000000,1K,125,Rectangular Shaped,7.5,1991.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,410000000,1K,270,Rectangular Shaped,15.0,1978.0,S,Office,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,500000000,1K,170,Semi-rectangular Shaped,7.6,1979.0,SRC,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,220000000,1K,65,Semi-rectangular Shaped,6.0,1980.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,920000000,1K,125,Semi-rectangular Shaped,11.5,1967.0,LS,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,170000000,1K,30,Rectangular Shaped,3.5,1961.0,SRC,Shop,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,99000000,1K,100,Semi-rectangular Shaped,9.3,1980.0,S,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,340000000,1K,90,Semi-square Shaped,10.0,1980.0,SRC,House,North,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,2000000000,1K,55,Rectangular Shaped,3.5,1961.0,SRC,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,3300000000,1K,1400,Irregular Shaped,48.0,1985.0,SRC,Office,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,300000000,1K,140,Irregular Shaped,5.4,1978.0,RC,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,17000000,1K,35,Semi-rectangular Shaped,4.5,1982.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,0.0,140000000,1K,30,Irregular Shaped,7.0,1973.0,RC,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,320000000,1K,85,Semi-rectangular Shaped,7.2,1979.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,1.0,160000000,1K,100,Semi-rectangular Shaped,6.2,2002.0,S,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,88000000,1K,135,Semi-rectangular Shaped,5.5,1979.0,RC,Warehouse,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,690000000,1K,170,Irregular Shaped,5.5,1985.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,460000000,1K,330,Irregular Shaped,19.0,1969.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,140000000,1K,130,Semi-rectangular Shaped,7.7,2018.0,W,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,84000000,1K,135,Rectangular Shaped,9.4,1968.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,110000000,1K,90,Semi-trapezoidal Shaped,8.1,2017.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,65000000,1K,55,Semi-rectangular Shaped,3.9,2017.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,75000000,1K,115,Semi-rectangular Shaped,7.7,1990.0,W,Housing Complex,North,Not yet
Residential Land(Land and Building),Minato Ward,7.0,400000000,1K,450,Irregular Shaped,12.0,1988.0,RC,House,South,Not yet
Residential Land(Land and Building),Minato Ward,7.0,810000000,1K,330,Irregular Shaped,13.7,2002.0,RC,Shop,West,Not yet
Residential Land(Land and Building),Minato Ward,7.0,140000000,1K,105,Semi-rectangular Shaped,6.9,2001.0,W,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,69000000,1K,70,Semi-rectangular Shaped,5.1,2014.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,60000000,1K,70,Semi-rectangular Shaped,3.5,2014.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,10.0,43000000,1K,115,Semi-rectangular Shaped,7.8,1990.0,W,Housing Complex,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,73000000,1K,55,Rectangular Shaped,6.7,2009.0,LS,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,120000000,1K,85,Rectangular Shaped,6.5,2017.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,48000000,1K,165,Semi-trapezoidal Shaped,12.0,1959.0,W,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,110000000,1K,180,Semi-rectangular Shaped,9.0,1993.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,66000000,1K,155,Rectangular Shaped,9.0,1980.0,RC,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,160000000,1K,85,Rectangular Shaped,7.5,2019.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,180000000,1K,110,Semi-rectangular Shaped,7.0,1988.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,190000000,1K,110,Semi-square Shaped,10.0,2014.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,170000000,1K,240,Semi-rectangular Shaped,10.6,1964.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,5.0,130000000,1K,115,Semi-rectangular Shaped,11.0,1990.0,SRC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,170000000,1K,90,Semi-rectangular Shaped,11.3,2019.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,100000000,1K,105,Semi-rectangular Shaped,8.0,1971.0,RC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,4.0,55000000,1K,105,Semi-rectangular Shaped,7.5,1971.0,RC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,6.0,630000000,1K,230,Semi-trapezoidal Shaped,10.8,2019.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,530000000,1K,230,Semi-rectangular Shaped,11.0,2019.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,62000000,1K,100,Square Shaped,9.0,1994.0,W,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,230000000,1K,230,Rectangular Shaped,10.9,1967.0,RC,House,East,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,65000000,1K,45,Semi-rectangular Shaped,5.5,2014.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,65000000,1K,50,Semi-rectangular Shaped,5.0,2019.0,W,House,North,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,21000000,1K,30,Semi-shaped,6.1,1979.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,10.0,18000000,1K,55,Rectangular Shaped,5.5,1962.0,W,House,No facing road,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,62000000,1K,65,Semi-square Shaped,7.7,1983.0,W,House,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,8.0,76000000,1K,105,Rectangular Shaped,12.5,1991.0,LS,House,Northeast,Not yet
Residential Land(Land and Building),Shinjuku Ward,7.0,63000000,1K,60,Irregular Shaped,6.8,2001.0,W,House,West,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,23000000,1K,55,Semi-rectangular Shaped,6.0,1968.0,W,Housing Complex,South,Not yet
Residential Land(Land and Building),Shinjuku Ward,9.0,180000000,1K,240,Semi-rectangular Shaped,14.0,1970.0,W,Housing Complex,Northeast,Not yet
